A,B,M,N,CURRENT,dV,k,rhoa,err
17,24,20,21,0.2,0.069038,0.0,65.0668,1e-06
16,25,20,21,0.2,0.048702,0.0,76.5009,1e-06
15,26,20,21,0.2,0.03767,0.0,88.7578,1e-06
14,27,20,21,0.2,0.029522,0.0,97.3834,1e-06
20,23,21,22,0.2,0.34674000000000005,0.0,54.4658,1e-06
19,24,21,22,0.2,0.121506,0.0,57.2584,1e-06
18,25,21,22,0.2,0.069916,0.0,65.8943,1e-06
17,26,21,22,0.2,0.048126,0.0,75.5961,1e-06
16,27,21,22,0.2,0.036303999999999996,0.0,85.5393,1e-06
15,28,21,22,0.2,0.029196,0.0,96.308,1e-06
21,24,22,23,0.2,0.32664000000000004,0.0,51.3085,1e-06
20,25,22,23,0.2,0.126008,0.0,59.3799,1e-06
19,26,22,23,0.2,0.07534800000000001,0.0,71.0138,1e-06
18,27,22,23,0.2,0.05192600000000001,0.0,81.5652,1e-06
17,28,22,23,0.2,0.038718,0.0,91.2271,1e-06
16,29,22,23,0.2,0.029836,0.0,98.4192,1e-06
22,25,23,24,0.2,0.26574000000000003,0.0,41.7423,1e-06
21,26,23,24,0.2,0.115428,0.0,54.3942,1e-06
20,27,23,24,0.2,0.067338,0.0,63.4646,1e-06
19,28,23,24,0.2,0.04667,0.0,73.3091,1e-06
18,29,23,24,0.2,0.034028,0.0,80.1766,1e-06
17,30,23,24,0.2,0.02602,0.0,85.8315,1e-06
23,26,24,25,0.2,0.28664,0.0,45.0253,1e-06
22,27,24,25,0.2,0.11637,0.0,54.8381,1e-06
21,28,24,25,0.2,0.06869600000000001,0.0,64.7445,1e-06
20,29,24,25,0.2,0.045476,0.0,71.4335,1e-06
19,30,24,25,0.2,0.033202,0.0,78.2304,1e-06
18,31,24,25,0.2,0.025378,0.0,83.7137,1e-06
24,27,25,26,0.2,0.26668,0.0,41.89,1e-06
23,28,25,26,0.2,0.112626,0.0,53.0738,1e-06
22,29,25,26,0.2,0.06198200000000001,0.0,58.4167,1e-06
21,30,25,26,0.2,0.04231,0.0,66.4604,1e-06
20,31,25,26,0.2,0.030588,0.0,72.0713,1e-06
19,32,25,26,0.2,0.024196000000000002,0.0,79.8147,1e-06
25,28,26,27,0.2,0.333,0.0,52.3075,1e-06
24,29,26,27,0.2,0.119498,0.0,56.3121,1e-06
23,30,26,27,0.2,0.06993200000000001,0.0,65.9094,1e-06
22,31,26,27,0.2,0.046736,0.0,73.4127,1e-06
21,32,26,27,0.2,0.035284,0.0,83.136,1e-06
20,33,26,27,0.2,0.027442,0.0,90.5222,1e-06
26,29,27,28,0.2,0.27318,0.0,42.911,1e-06
25,30,27,28,0.2,0.10508800000000001,0.0,49.5216,1e-06
24,31,27,28,0.2,0.059978000000000004,0.0,56.5279,1e-06
23,32,27,28,0.2,0.04236,0.0,66.5389,1e-06
22,33,27,28,0.2,0.031496,0.0,74.2107,1e-06
21,34,27,28,0.2,0.024868,0.0,82.0314,1e-06
27,30,28,29,0.2,0.32854000000000005,0.0,51.6069,1e-06
26,31,28,29,0.2,0.11676800000000001,0.0,55.0256,1e-06
25,32,28,29,0.2,0.068844,0.0,64.8839,1e-06
24,33,28,29,0.2,0.048100000000000004,0.0,75.5553,1e-06
23,34,28,29,0.2,0.036694,0.0,86.4582,1e-06
22,35,28,29,0.2,0.029244,0.0,96.4664,1e-06
28,31,29,30,0.2,0.2927,0.0,45.9772,1e-06
27,32,29,30,0.2,0.112452,0.0,52.9918,1e-06
26,33,29,30,0.2,0.066474,0.0,62.6503,1e-06
25,34,29,30,0.2,0.047046000000000004,0.0,73.8997,1e-06
24,35,29,30,0.2,0.036596000000000004,0.0,86.2273,1e-06
23,36,29,30,0.2,0.030436000000000005,0.0,100.398,1e-06
41,44,42,43,0.2,0.31836000000000003,0.0,50.0079,1e-06
40,45,42,43,0.2,0.090338,0.0,42.5708,1e-06
39,46,42,43,0.2,0.04710400000000001,0.0,44.3945,1e-06
38,47,42,43,0.1,0.014763000000000002,0.0,46.3793,1e-06
37,48,42,43,0.2,0.019929000000000002,0.0,46.9566,1e-06
36,49,42,43,0.2,0.015723400000000002,0.0,51.8663,1e-06
40,43,41,42,0.2,0.36772000000000005,0.0,57.7613,1e-06
39,44,41,42,0.2,0.120008,0.0,56.5524,1e-06
38,45,41,42,0.2,0.061722,0.0,58.1716,1e-06
37,46,41,42,0.2,0.038638000000000006,0.0,60.6924,1e-06
36,47,41,42,0.1,0.013132,0.0,61.8831,1e-06
35,48,41,42,0.1,0.010151,0.0,66.9696,1e-06
39,42,40,41,0.2,0.35648,0.0,55.9957,1e-06
38,43,40,41,0.2,0.103412,0.0,48.7318,1e-06
37,44,40,41,0.2,0.056646,0.0,53.3876,1e-06
36,45,40,41,0.2,0.036112,0.0,56.7246,1e-06
35,46,40,41,0.2,0.026398,0.0,62.1988,1e-06
34,47,40,41,0.1,0.0098879,0.0,65.2339,1e-06
38,41,39,40,0.2,0.36182000000000003,0.0,56.8346,1e-06
37,42,39,40,0.2,0.104612,0.0,49.2972,1e-06
36,43,39,40,0.2,0.056316000000000005,0.0,53.0766,1e-06
35,44,39,40,0.2,0.039552000000000004,0.0,62.1281,1e-06
34,45,39,40,0.2,0.030058,0.0,70.8225,1e-06
33,46,39,40,0.2,0.023574,0.0,77.7629,1e-06
37,40,38,39,0.2,0.31748,0.0,49.8696,1e-06
36,41,38,39,0.2,0.10454200000000001,0.0,49.2643,1e-06
35,42,38,39,0.2,0.05663200000000001,0.0,53.3744,1e-06
34,43,38,39,0.2,0.0417,0.0,65.5022,1e-06
33,44,38,39,0.2,0.032074000000000005,0.0,75.5726,1e-06
32,45,38,39,0.2,0.025812,0.0,85.1453,1e-06
36,39,37,38,0.2,0.26511999999999997,0.0,41.645,1e-06
35,40,37,38,0.2,0.094692,0.0,44.6226,1e-06
34,41,37,38,0.2,0.056588000000000006,0.0,53.3329,0.001
33,42,37,38,0.2,0.038768000000000004,0.0,60.8966,1e-06
32,43,37,38,0.2,0.030958000000000003,0.0,72.9431,1e-06
31,44,37,38,0.2,0.025422,0.0,83.8588,1e-06
35,38,36,37,0.2,0.22494000000000003,0.0,35.3335,1e-06
34,39,36,37,0.2,0.09115600000000001,0.0,42.9563,1e-06
33,40,36,37,0.2,0.05201,0.0,49.0183,1e-06
32,41,36,37,0.2,0.036896000000000005,0.0,57.9561,1e-06
31,42,36,37,0.2,0.027942,0.0,65.8368,1e-06
30,43,36,37,0.2,0.022536,0.0,74.3389,1e-06
34,37,35,36,0.2,0.167802,0.0,26.3583,1e-06
33,38,35,36,0.2,0.067848,0.0,31.9726,1e-06
32,39,35,36,0.2,0.039814,0.0,37.5238,1e-06
31,40,35,36,0.2,0.027583999999999997,0.0,43.3288,1e-06
30,41,35,36,0.2,0.02044,0.0,48.1606,1e-06
29,42,35,36,0.2,0.0154576,0.0,50.9896,1e-06
33,36,34,35,0.2,0.138222,0.0,21.7119,1e-06
32,37,34,35,0.2,0.059348000000000005,0.0,27.9671,1e-06
31,38,34,35,0.2,0.03638,0.0,34.2873,1e-06
30,39,34,35,0.2,0.024472,0.0,38.4405,1e-06
29,40,34,35,0.2,0.0177164,0.0,41.7433,1e-06
28,41,34,35,0.2,0.013656,0.0,45.0467,1e-06
32,35,33,34,0.2,0.184072,0.0,28.914,1e-06
31,36,33,34,0.2,0.08404,0.0,39.6029,1e-06
30,37,33,34,0.2,0.050944,0.0,48.0136,1e-06
29,38,33,34,0.2,0.035088,0.0,55.1161,1e-06
28,39,33,34,0.2,0.025812,0.0,60.8181,1e-06
27,40,33,34,0.2,0.020560000000000002,0.0,67.8207,1e-06
31,34,32,33,0.2,0.19351200000000002,0.0,30.3968,1e-06
30,35,32,33,0.2,0.071524,0.0,33.7049,1e-06
29,36,32,33,0.2,0.04415,0.0,41.6104,1e-06
28,37,32,33,0.2,0.031632,0.0,49.6874,1e-06
27,38,32,33,0.2,0.024558,0.0,57.8634,1e-06
26,39,32,33,0.2,0.019100000000000002,0.0,63.0046,0.001
30,33,31,32,0.2,0.24584000000000003,0.0,38.6165,1e-06
29,34,31,32,0.2,0.078128,0.0,36.817,1e-06
28,35,31,32,0.2,0.049236,0.0,46.4038,1e-06
27,36,31,32,0.2,0.038216,0.0,60.0296,1e-06
26,37,31,32,0.2,0.029334,0.0,69.1166,1e-06
25,38,31,32,0.2,0.023328,0.0,76.9514,1e-06
29,32,30,31,0.2,0.26908,0.0,42.267,1e-06
28,33,30,31,0.2,0.096354,0.0,45.4058,1e-06
27,34,30,31,0.2,0.059306000000000005,0.0,55.8946,1e-06
26,35,30,31,0.2,0.043296,0.0,68.0092,1e-06
25,36,30,31,0.2,0.034766000000000005,0.0,81.9155,1e-06
24,37,30,31,0.2,0.027880000000000002,0.0,91.967,1e-06
42,45,43,44,0.2,0.2978,0.0,46.7783,1e-06
41,46,43,44,0.2,0.0897,0.0,42.2701,1e-06
40,47,43,44,0.1,0.023702,0.0,44.6772,0.002
39,48,43,44,0.1,0.01482,0.0,46.5584,1e-06
38,49,43,44,0.2,0.022016,0.0,51.874,0.002
37,50,43,44,0.1,0.007764500000000001,0.0,51.2251,1e-06
43,46,44,45,0.2,0.33028,0.0,51.8803,1e-06
42,47,44,45,0.1,0.056629,0.0,53.3716,1e-06
41,48,44,45,0.1,0.026691,0.0,50.3113,1e-06
39,50,44,45,0.1,0.013108000000000002,0.0,61.77,1e-06
38,51,44,45,0.2,0.020782000000000002,0.0,68.553,1e-06
44,47,45,46,0.1,0.21417000000000003,0.0,67.2835,1e-06
43,48,45,46,0.1,0.05321200000000001,0.0,50.1511,0.001
42,49,45,46,0.1,0.032226,0.0,60.7446,1e-06
41,50,45,46,0.1,0.021171000000000002,0.0,66.5107,0.004
40,51,45,46,0.2,0.032294,0.0,76.0909,1e-06
39,52,45,46,0.1,0.011843,0.0,78.1324,1e-06
45,48,46,47,0.1,0.17471000000000003,0.0,54.8868,1e-06
44,49,46,47,0.1,0.048965,0.0,46.1484,1e-06
43,50,46,47,0.1,0.027694999999999997,0.0,52.2038,1e-06
41,52,46,47,0.1,0.014064,0.0,66.275,1e-06
40,53,46,47,0.1,0.011074,0.0,73.059,1e-06
46,49,47,48,0.1,0.21901000000000004,0.0,68.804,1e-06
45,50,47,48,0.1,0.059668,0.0,56.2358,1e-06
44,51,47,48,0.1,0.032509,0.0,61.278,1e-06
43,52,47,48,0.1,0.021596000000000004,0.0,67.8458,1e-06
42,53,47,48,0.1,0.016792,0.0,79.1304,1e-06
41,54,47,48,0.1,0.012996,0.0,85.7391,1e-06
47,50,48,49,0.1,0.22077000000000002,0.0,69.3569,1e-06
46,51,48,49,0.1,0.049462000000000006,0.0,46.6168,1e-06
45,52,48,49,0.1,0.023418,0.0,44.1419,1e-06
44,53,48,49,0.1,0.015831,0.0,49.7346,1e-06
43,54,48,49,0.1,0.011984000000000002,0.0,56.4733,1e-06
42,55,48,49,0.1,0.0098462,0.0,64.9588,1e-06
48,51,49,50,0.1,0.23270000000000002,0.0,73.1049,1e-06
47,52,49,50,0.1,0.052713,0.0,49.6808,1e-06
46,53,49,50,0.1,0.024588,0.0,46.3473,0.001
45,54,49,50,0.1,0.01626,0.0,51.0823,1e-06
44,55,49,50,0.1,0.012289000000000001,0.0,57.9105,1e-06
43,56,49,50,0.1,0.0094191,0.0,62.141,1e-06
49,52,50,51,0.1,0.28747,0.0,90.3114,1e-06
48,53,50,51,0.1,0.05307500000000001,0.0,50.022,1e-06
47,54,50,51,0.1,0.027161000000000005,0.0,51.1973,1e-06
46,55,50,51,0.1,0.017707,0.0,55.6282,1e-06
45,56,50,51,0.1,0.012472,0.0,58.7729,1e-06
50,53,51,52,0.1,0.30549000000000004,0.0,95.9725,1e-06
49,54,51,52,0.1,0.058217,0.0,54.8682,1e-06
48,55,51,52,0.1,0.028953000000000003,0.0,54.5751,1e-06
47,56,51,52,0.1,0.018617,0.0,58.487,0.001
51,54,52,53,0.1,0.32061000000000006,0.0,100.723,1e-06
50,55,52,53,0.1,0.062798,0.0,59.1857,1e-06
49,56,52,53,0.1,0.027988000000000002,0.0,52.7561,1e-06
52,55,53,54,0.1,0.29553,0.0,92.8435,1e-06
51,56,53,54,0.1,0.05324,0.0,50.1775,1e-06
53,56,54,55,0.1,0.32431000000000004,0.0,101.885,1e-06
1,16,7,10,0.1,0.033058,0.0,93.4693,1e-06
2,17,8,11,0.2,0.065456,0.0,92.5362,0.001
3,18,9,12,0.1,0.031893,0.0,90.1753,1e-06
4,19,10,13,0.1,0.034096,0.0,96.4042,1e-06
5,20,11,14,0.2,0.071176,0.0,100.623,1e-06
6,21,12,15,0.2,0.07318400000000001,0.0,103.461,1e-06
7,22,13,16,0.2,0.071434,0.0,100.987,1e-06
8,23,14,17,0.2,0.068678,0.0,97.0912,1e-06
9,24,15,18,0.2,0.071952,0.0,101.72,1e-06
10,25,16,19,0.2,0.07209600000000001,0.0,101.923,1e-06
11,26,17,20,0.2,0.073756,0.0,104.27,1e-06
12,27,18,21,0.2,0.07257200000000001,0.0,102.596,1e-06
13,28,19,22,0.2,0.073244,0.0,103.546,1e-06
14,29,20,23,0.2,0.072088,0.0,101.912,1e-06
15,30,21,24,0.2,0.06847800000000001,0.0,96.8085,1e-06
16,31,22,25,0.2,0.065294,0.0,92.3072,1e-06
17,32,23,26,0.2,0.061212,0.0,86.5364,1e-06
18,33,24,27,0.2,0.063288,0.0,89.4713,1e-06
19,34,25,28,0.2,0.06313800000000001,0.0,89.2592,1e-06
20,35,26,29,0.2,0.068638,0.0,97.0347,1e-06
21,36,27,30,0.2,0.071524,0.0,101.115,1e-06
22,37,28,31,0.2,0.074078,0.0,104.725,1e-06
23,38,29,32,0.2,0.068374,0.0,96.6615,1e-06
24,39,30,33,0.2,0.058358,0.0,82.5017,1e-06
25,40,31,34,0.2,0.052204,0.0,73.8017,1e-06
26,41,32,35,0.2,0.045024,0.0,63.6512,1e-06
27,42,33,36,0.2,0.04224800000000001,0.0,59.7267,1e-06
28,43,34,37,0.2,0.04377400000000001,0.0,61.884,1e-06
29,44,35,38,0.2,0.053348,0.0,75.419,0.001
30,45,36,39,0.2,0.062288,0.0,88.0576,0.001
31,46,37,40,0.2,0.06323,0.0,89.3893,1e-06
32,47,38,41,0.1,0.029596,0.0,83.6807,1e-06
33,48,39,42,0.1,0.027223000000000004,0.0,76.9712,1e-06
34,49,40,43,0.2,0.049082,0.0,69.388,1e-06
35,50,41,44,0.1,0.022299,0.0,63.0489,1e-06
36,51,42,45,0.2,0.043526,0.0,61.5334,1e-06
37,52,43,46,0.1,0.024539000000000002,0.0,69.3824,0.005
38,53,44,47,0.1,0.027824,0.0,78.6705,1e-06
39,54,45,48,0.1,0.030713000000000004,0.0,86.839,1e-06
40,55,46,49,0.1,0.028982000000000004,0.0,81.9447,1e-06
41,56,47,50,0.1,0.027292,0.0,77.1663,1e-06
1,22,10,13,0.1,0.020202,0.0,114.24,1e-06
2,23,11,14,0.2,0.041756,0.0,118.062,1e-06
3,24,12,15,0.1,0.022298000000000002,0.0,126.092,0.006
4,25,13,16,0.1,0.021553000000000003,0.0,121.879,1e-06
5,26,14,17,0.2,0.042204000000000005,0.0,119.329,1e-06
6,27,15,18,0.2,0.04338600000000001,0.0,122.671,1e-06
7,28,16,19,0.2,0.043890000000000005,0.0,124.096,1e-06
8,29,17,20,0.2,0.043646000000000004,0.0,123.406,1e-06
9,30,18,21,0.2,0.04234,0.0,119.714,1e-06
10,31,19,22,0.2,0.041274000000000005,0.0,116.699,1e-06
11,32,20,23,0.2,0.039974,0.0,113.024,1e-06
12,33,21,24,0.2,0.038932,0.0,110.078,1e-06
13,34,22,25,0.2,0.038406,0.0,108.59,1e-06
14,35,23,26,0.2,0.037422000000000004,0.0,105.808,1e-06
15,36,24,27,0.2,0.039854,0.0,112.685,1e-06
16,37,25,28,0.2,0.039636000000000005,0.0,112.068,1e-06
17,38,26,29,0.2,0.041848,0.0,118.322,1e-06
18,39,27,30,0.2,0.042548,0.0,120.302,1e-06
19,40,28,31,0.2,0.043120000000000006,0.0,121.919,1e-06
20,41,29,32,0.2,0.039702,0.0,112.255,1e-06
21,42,30,33,0.2,0.034562,0.0,97.7218,1e-06
22,43,31,34,0.2,0.03134,0.0,88.6118,1e-06
23,44,32,35,0.2,0.026978000000000002,0.0,76.2785,1e-06
24,45,33,36,0.2,0.025452000000000002,0.0,71.9638,1e-06
25,46,34,37,0.2,0.026206000000000004,0.0,74.0957,0.001
26,47,35,38,0.1,0.015441,0.0,87.3168,1e-06
27,48,36,39,0.1,0.018033,0.0,101.974,0.003
28,49,37,40,0.2,0.037774,0.0,106.803,1e-06
29,50,38,41,0.1,0.018155,0.0,102.664,1e-06
30,51,39,42,0.2,0.035696,0.0,100.928,1e-06
31,52,40,43,0.1,0.015592000000000002,0.0,88.1707,1e-06
32,53,41,44,0.1,0.014457999999999999,0.0,81.7581,1e-06
33,54,42,45,0.1,0.013700000000000002,0.0,77.4717,1e-06
34,55,43,46,0.1,0.015105,0.0,85.4168,1e-06
35,56,44,47,0.1,0.015887000000000002,0.0,89.8389,1e-06
2,29,14,17,0.2,0.026924,0.0,126.876,0.004
3,30,15,18,0.1,0.014262,0.0,134.416,1e-06
4,31,16,19,0.1,0.013972000000000002,0.0,131.683,1e-06
5,32,17,20,0.2,0.028277999999999998,0.0,133.257,1e-06
6,33,18,21,0.2,0.027308,0.0,128.686,1e-06
7,34,19,22,0.2,0.027998000000000002,0.0,131.937,1e-06
8,35,20,23,0.2,0.02756,0.0,129.873,1e-06
9,36,21,24,0.2,0.027564,0.0,129.892,1e-06
10,37,22,25,0.2,0.027646,0.0,130.279,1e-06
11,38,23,26,0.2,0.02545,0.0,119.93,1e-06
12,39,24,27,0.2,0.026151999999999998,0.0,123.238,1e-06
13,40,25,28,0.2,0.02621,0.0,123.512,0.011
14,41,26,29,0.2,0.027938000000000004,0.0,131.655,1e-06
15,42,27,30,0.2,0.028310000000000002,0.0,133.408,1e-06
16,43,28,31,0.2,0.029258000000000003,0.0,137.875,1e-06
17,44,29,32,0.2,0.026606000000000005,0.0,125.378,1e-06
18,45,30,33,0.2,0.023248,0.0,109.554,1e-06
19,46,31,34,0.2,0.02059,0.0,97.0281,1e-06
20,47,32,35,0.1,0.008317900000000001,0.0,78.3944,1e-06
21,48,33,36,0.1,0.0078827,0.0,74.2927,1e-06
22,49,34,37,0.2,0.0172838,0.0,81.448,1e-06
23,50,35,38,0.1,0.010294000000000001,0.0,97.0187,1e-06
24,51,36,39,0.2,0.025402000000000004,0.0,119.704,1e-06
25,52,37,40,0.1,0.012900000000000002,0.0,121.58,1e-06
26,53,38,41,0.1,0.012621,0.0,118.95,1e-06
27,54,39,42,0.1,0.012082,0.0,113.87,1e-06
28,55,40,43,0.1,0.010629,0.0,100.176,1e-06
29,56,41,44,0.1,0.009954000000000001,0.0,93.8142,1e-06
2,35,17,20,0.2,0.020322000000000003,0.0,143.648,1e-06
3,36,18,21,0.1,0.010920000000000001,0.0,154.378,1e-06
4,37,19,22,0.1,0.010946000000000001,0.0,154.745,0.011
5,38,20,23,0.2,0.020632,0.0,145.839,1e-06
6,39,21,24,0.2,0.019576200000000002,0.0,138.376,1e-06
8,41,23,26,0.2,0.018588,0.0,131.391,1e-06
9,42,24,27,0.2,0.018948400000000004,0.0,133.938,1e-06
11,44,26,29,0.2,0.020092,0.0,142.022,1e-06
12,45,27,30,0.2,0.020534,0.0,145.146,1e-06
13,46,28,31,0.2,0.021004000000000002,0.0,148.469,1e-06
15,48,30,33,0.1,0.0081688,0.0,115.484,1e-06
16,49,31,34,0.2,0.01455,0.0,102.848,1e-06
17,50,32,35,0.1,0.005593900000000001,0.0,79.0819,0.001
18,51,33,36,0.2,0.0118112,0.0,83.4885,1e-06
19,52,34,37,0.1,0.0057784,0.0,81.6902,1e-06
20,53,35,38,0.1,0.0074139,0.0,104.812,0.011
21,54,36,39,0.1,0.0090077,0.0,127.343,1e-06
22,55,37,40,0.1,0.009500000000000001,0.0,134.303,1e-06
23,56,38,41,0.1,0.009178500000000001,0.0,129.758,1e-06
1,40,19,22,0.1,0.007861,0.0,155.585,0.001
3,42,21,24,0.1,0.0081141,0.0,160.595,1e-06
4,43,22,25,0.1,0.0079443,0.0,157.234,0.016
5,44,23,26,0.1,0.0072922,0.0,144.327,1e-06
6,45,24,27,0.2,0.0147312,0.0,145.78,1e-06
7,46,25,28,0.1,0.0075968,0.0,150.356,1e-06
8,47,26,29,0.1,0.007352200000000001,0.0,145.515,1e-06
9,48,27,30,0.1,0.0074414,0.0,147.28,1e-06
10,49,28,31,0.1,0.0082545,0.0,163.373,1e-06
11,50,29,32,0.1,0.006636100000000001,0.0,131.342,0.001
12,51,30,33,0.2,0.012677800000000001,0.0,125.46,1e-06
13,52,31,34,0.1,0.0047946,0.0,94.8949,0.001
15,54,33,36,0.1,0.004190800000000001,0.0,82.9445,0.002
16,55,34,37,0.1,0.0044393,0.0,87.8628,0.017
17,56,35,38,0.1,0.0056604,0.0,112.031,1e-06
