A,B,M,N,rhoa,k,err
21,11,17,16,0.502178,37.8633,0.03
21,11,16,15,0.502808,37.9108,0.03
21,11,15,14,0.499454,29.2895,0.03
21,11,14,13,0.498121,16.9614,0.03
21,11,13,12,0.405958,4.96354,0.03
22,12,21,20,0.543473,6.6449,0.03
22,12,20,19,0.466692,15.8912,0.03
22,12,19,18,0.504775,29.6016,0.03
22,12,18,17,0.503895,37.9928,0.03
22,12,17,16,0.502401,37.8801,0.03
22,12,16,15,0.502006,29.4391,0.03
22,12,15,14,0.500481,17.0418,0.03
22,12,14,13,0.497151,6.07854,0.03
23,13,22,21,0.654382,8.00096,0.03
23,13,21,20,0.380384,12.9524,0.03
23,13,20,19,0.502213,29.4513,0.03
23,13,19,18,0.504757,38.0578,0.03
23,13,18,17,0.503958,37.9975,0.03
23,13,17,16,0.501417,29.4046,0.03
23,13,16,15,0.502892,17.1239,0.03
23,13,15,14,0.475205,5.8102,0.03
24,14,23,22,0.764565,9.34813,0.03
24,14,22,21,0.266245,9.06585,0.03
24,14,21,20,0.500318,29.3402,0.03
24,14,20,19,0.502186,37.864,0.03
24,14,19,18,0.504844,38.0643,0.03
24,14,18,17,0.503056,29.5008,0.03
24,14,17,16,0.502363,17.1059,0.03
24,14,16,15,0.482708,5.90194,0.03
25,15,24,23,0.655752,8.0177,0.03
25,15,23,22,0.37847,12.8872,0.03
25,15,22,21,0.503636,29.5347,0.03
25,15,21,20,0.500215,37.7153,0.03
25,15,20,19,0.502211,37.8658,0.03
25,15,19,18,0.503863,29.5481,0.03
25,15,18,17,0.503928,17.1592,0.03
25,15,17,16,0.48049,5.87483,0.03
26,16,25,24,0.779166,9.52666,0.03
26,16,24,23,0.255506,8.7002,0.03
26,16,23,22,0.498835,29.2532,0.03
26,16,22,21,0.503607,37.9711,0.03
26,16,21,20,0.500302,37.7219,0.03
26,16,20,19,0.50131,29.3984,0.03
26,16,19,18,0.504806,17.189,0.03
26,16,18,17,0.483049,5.90612,0.03
27,17,26,25,0.773255,9.45439,0.03
27,17,25,24,0.259342,8.8308,0.03
