n0,n1,n2,rho
51,82,5,0.9983996718012823
154,170,172,1.001112374848764
145,89,150,1.0026620239041812
78,81,145,0.9990689024836366
14,68,44,0.9986292725877807
136,173,174,1.0044296686832999
93,151,94,0.9991326730136415
151,12,14,0.9992276263107569
107,152,108,0.9994733975710944
152,170,154,0.998646351516936
129,39,168,0.9985850773374225
38,167,39,0.998585023300097
131,155,60,0.9992209702613604
58,60,155,0.998538508624712
154,2,113,0.9986249209745637
175,176,97,1.0036065934299123
20,9,11,1.0115620015180455
63,177,178,1.0220284103873527
7,6,22,1.0148720688744826
21,37,36,0.9989588863845005
21,73,7,1.0025000417869914
179,86,85,1.0027277616470516
151,75,162,0.9985804600702463
80,146,180,1.001641375378812
163,181,65,0.9986516290642021
181,182,66,0.9988595111081083
153,84,77,1.0006101048454537
84,86,163,0.9985517101472972
183,163,86,1.0005293896230478
12,184,13,1.0064575897357164
122,176,175,1.008578995823969
139,116,144,0.9984334197768543
119,118,167,1.0005851502975958
185,59,58,1.0007528258443672
168,186,123,1.0002818385704997
123,122,129,1.0035909522871482
96,98,139,0.9993469533407987
187,142,141,1.0065652516616563
152,104,169,0.9981638915604399
155,157,58,0.9998617477769491
171,188,102,1.0004132970367263
188,189,169,1.0040281579281412
173,136,5,1.0001282449204918
171,102,100,0.9987398544348532
150,79,145,1.000762134316945
81,78,82,0.9983610131387063
70,69,146,0.9993670310942145
82,190,173,1.0047727203671677
0,156,1,0.9990498576245134
168,118,186,0.9985375470020798
191,179,85,1.0022704701292136
53,91,191,0.9984136745597325
151,14,94,0.998375835332645
68,14,13,1.0002886698851599
84,163,77,0.999174902982088
181,163,183,0.99930590924542
167,118,168,0.9990239019140437
186,118,59,0.9986691142316535
139,98,140,1.0034298215042015
152,154,108,0.998279768270935
2,154,172,0.9997899756832125
145,79,78,0.9988134627412774
80,79,146,0.9986453928439138
162,66,182,0.9991858225409702
166,192,162,1.0060712562264258
13,193,69,1.0057321394372658
44,68,70,0.998714291816929
162,192,12,1.0048157445298336
78,194,82,1.0011902989691377
13,69,68,1.0016269576021724
180,69,193,1.006653748791933
191,85,53,0.9988712281655022
90,23,158,1.0049059991680223
183,166,182,1.0030989988990047
65,181,66,0.9988821862863032
86,179,164,1.0085373730512164
193,13,184,1.0082725619568975
183,182,181,1.0001084740722992
166,162,182,1.002555033118089
195,156,0,1.0016415638380232
129,168,123,1.0001033035780944
169,102,188,1.000053909037624
189,170,169,1.0039639748988036
172,196,0,1.0042281380391498
113,2,1,0.9988445611976638
197,170,189,1.0080495957720257
186,124,123,1.00381959932821
172,0,2,1.0007694565640342
195,0,196,1.0047234222956654
193,198,180,1.0104277674939097
199,189,188,1.0074727665830414
185,186,59,1.0004503598668717
140,98,176,1.0092230724576627
200,201,202,1.0098239283045578
203,204,205,1.0469054445083226
202,206,124,1.011505979329662
207,208,209,1.0326615991823533
207,210,126,1.0249552273549833
130,128,143,1.0078504450026289
148,132,211,1.0111907362122308
212,211,213,1.011749726418474
8,19,18,1.0113445703051167
7,22,21,1.0071188129360555
19,25,20,1.00880376447359
73,8,7,1.005294205165525
11,214,20,1.0139845285284514
23,37,21,0.9997919604717793
164,183,86,1.0052623358398496
106,175,97,0.9997591756134213
97,176,98,1.0036017025162751
215,216,140,1.0273622976634291
139,141,116,0.9994783366535888
124,217,122,1.0145195454521558
130,143,208,1.012480250634075
135,137,171,1.000274513468976
172,170,197,1.0057922067878386
171,199,188,1.0043552559394933
218,200,195,1.0079789417015856
137,174,199,1.0080222913086876
219,218,220,1.0131001292881834
174,137,136,1.0045280106052352
199,171,137,1.0044391241552237
180,221,194,1.0096042864293655
190,222,174,1.0126529223395133
195,157,156,1.0017068265765254
157,200,58,1.0035673367059141
124,186,185,1.00377395488445
195,200,157,1.0045847243663972
202,58,200,1.0063807848909705
218,201,200,1.0104206079349922
196,218,195,1.0078124581531243
197,196,172,1.006915492467083
189,223,197,1.011903581276103
206,202,201,1.0117336283401908
206,201,219,1.0132001425717003
224,91,90,1.0011167824723457
191,91,224,1.0012866158494778
179,191,224,1.006389666868418
184,225,198,1.0133510486528967
224,90,158,1.0070958903332174
179,224,226,1.0157694407510118
166,183,164,1.007016781110138
198,221,180,1.0118015209397804
58,202,185,1.004768775630376
124,185,202,1.0070524892104054
146,69,180,1.00245574686892
78,80,194,1.001014008013772
198,193,184,1.0111288820964863
194,80,180,1.0042940918921723
164,227,165,1.0173528206458724
190,174,173,1.0079713664615275
143,142,208,1.0067113501779603
126,130,207,1.021763482882641
90,37,23,0.9990878154891494
23,22,158,1.010312358929772
106,129,175,0.9995083020138954
122,175,129,1.003609395815639
142,187,208,1.0114710272460614
142,116,141,1.0001742104007199
199,223,189,1.0121684163936575
196,197,218,1.0095134797601832
5,82,173,1.0000537408334733
190,82,194,1.0057769666612575
219,201,218,1.0123039967474343
219,220,228,1.0155503081423354
227,179,226,1.0219939254295651
192,165,184,1.0113975580991879
176,229,215,1.0234477724543631
230,231,232,1.0218787270148606
220,197,223,1.0132026450935423
122,217,229,1.0198477566268431
165,192,166,1.0101764144478305
184,12,192,1.0080838243023742
226,224,158,1.0169606846036063
233,223,234,1.0186856408818603
211,132,213,1.0125259938523479
130,208,207,1.0232945414302888
208,216,209,1.0329276427817418
62,64,15,1.0129405911478535
22,6,159,1.0245318879414234
179,227,164,1.0165943549935532
221,190,194,1.0103418471469683
235,222,221,1.014738534512684
206,236,217,1.0172927730977281
187,216,208,1.0222747558806793
141,140,187,1.0099737604479462
216,187,140,1.0202887373513816
215,140,176,1.020819435440836
237,238,239,1.0320057568067436
132,210,213,1.016867768569689
62,15,17,1.0118219499433838
213,210,230,1.0183340016622884
10,15,11,1.00808429174295
126,210,132,1.020713276370227
212,213,240,1.0133386267158886
16,15,10,1.007520927218421
62,17,177,1.0142646762682423
210,241,231,1.0268918346611853
213,230,240,1.0165224669535968
177,242,178,1.026224245426971
15,64,11,1.011368097771342
231,230,210,1.0222193070763341
232,240,230,1.018823452384898
159,6,161,1.0330776988349515
18,214,160,1.0188211804839475
62,177,63,1.0173496458466063
20,214,18,1.0155736815382659
18,160,6,1.02223483568737
160,214,64,1.0173593844558149
11,64,214,1.0142156767756882
160,64,63,1.0188455593594037
63,178,160,1.0229464539447768
160,178,161,1.0279024896837323
241,210,207,1.0288760234966516
239,232,231,1.0251411933007784
243,241,207,1.0332705756750447
237,239,231,1.028822076512168
237,231,241,1.0295843221397574
209,244,243,1.0406928755214893
243,245,237,1.0360938839007579
241,243,237,1.033057205670028
246,174,222,1.0143179125930015
222,234,246,1.0166766023382012
235,198,225,1.0147486137144057
227,226,247,1.030046754600891
235,221,198,1.0135800448876704
222,190,221,1.0130461630794971
165,225,184,1.0143800122490896
248,227,247,1.0299501340142463
249,234,222,1.0202323734876921
246,199,174,1.0129725830909675
250,251,247,1.042470701277391
252,215,229,1.0292964005485372
253,238,245,1.0382902113082226
244,254,253,1.0452777135009546
243,207,209,1.0365256811471129
253,245,244,1.0411631057397386
238,237,245,1.035439952984756
197,220,218,1.012144557928803
205,244,209,1.0435865071273072
159,247,226,1.034987057099419
220,233,228,1.017858149625065
223,199,246,1.0140480291426097
178,242,161,1.030941229140489
255,256,242,1.0419283671984356
252,257,258,1.0391306430545657
216,215,205,1.037277095197811
236,206,219,1.0157231819084616
122,229,176,1.0178296767046788
243,244,245,1.0395525110780395
233,220,223,1.0158401316142374
233,234,259,1.0261486039228733
256,161,242,1.0382432509713844
158,159,226,1.0257890118371444
217,124,206,1.0146783084724842
252,217,260,1.0277041328354883
217,252,229,1.025808957356673
258,203,205,1.0442570472190893
225,261,235,1.0192784485778847
248,225,165,1.0192782845718122
260,217,236,1.021952502261393
205,209,216,1.0395365470863083
244,205,204,1.046922621062539
258,215,252,1.036914397635915
252,260,257,1.0351483967654895
262,259,263,1.0355451518763241
228,260,236,1.021622077408485
246,234,223,1.0162021897638394
236,219,228,1.0172633959889152
254,264,265,1.0476164172260447
228,262,260,1.0264496074719978
203,258,257,1.0436548462827233
205,215,258,1.0405359762216435
225,248,261,1.023188390339796
244,204,254,1.0473566380514248
266,267,204,1.0485180979514659
227,248,165,1.0219773496292603
249,222,235,1.0184371190949881
249,268,234,1.0265503724329097
263,259,269,1.0389554240978478
267,266,270,1.0483241325100645
270,271,267,1.0484522975321424
253,254,265,1.0465642714602998
272,255,273,1.0449553620517258
266,204,203,1.047665370478959
159,161,256,1.0400503462351611
250,274,251,1.043511775545493
261,248,251,1.0325870128374137
251,248,247,1.0358377216249455
267,254,204,1.0485174432901738
264,275,276,1.048578909327207
266,203,257,1.0461531333602407
271,275,277,1.0486872360696347
278,259,268,1.0359019202887296
279,268,261,1.0349382936004097
280,266,257,1.0456900421423914
266,280,270,1.0473030832493928
281,257,260,1.0373681181056835
233,262,228,1.0242200404572743
280,282,270,1.0470342124912255
271,270,282,1.0479682220606534
235,261,249,1.021711568245207
262,233,259,1.0288385105494204
267,271,277,1.048700820903451
277,264,254,1.0483600285080188
264,277,275,1.0485685847607757
254,267,277,1.0486605663008977
262,263,281,1.0371375909082117
280,283,282,1.0451474744261122
272,250,256,1.0455774020445883
279,251,274,1.0413614171787258
251,279,261,1.0371212844346993
280,281,263,1.0409392223805438
269,283,263,1.0412334668762355
280,263,283,1.0427783282648282
259,234,268,1.0301777454166898
269,259,278,1.0384833566715665
257,281,280,1.0417667442505456
260,262,281,1.0339030977681494
256,247,159,1.0422576110770656
255,272,256,1.0446829483752655
279,278,268,1.0364701648443035
261,268,249,1.0280506672612149
256,250,247,1.0449352157407876
274,250,272,1.0451219384854276
