A,B,M,N,CURRENT,dV
26,25,28,29,1.0,0.503102
26,25,29,30,1.0,0.222495
26,25,30,31,1.0,0.121008
26,25,31,32,1.0,0.069584
26,25,32,33,1.0,0.0447927
27,25,33,35,1.0,0.129976
27,25,35,37,1.0,0.0750995
27,25,37,39,1.0,0.0492618
27,25,39,41,1.0,0.034341
28,25,40,43,1.0,0.0662689
28,25,43,46,1.0,0.043402
28,25,46,49,1.0,0.0301736
29,25,49,53,1.0,0.0389902
27,26,28,29,1.0,2.05787
27,26,29,30,1.0,0.546184
27,26,30,31,1.0,0.237876
27,26,31,32,1.0,0.117815
27,26,32,33,1.0,0.0676041
27,26,33,34,1.0,0.0442904
28,26,34,36,1.0,0.130263
28,26,36,38,1.0,0.0722845
28,26,38,40,1.0,0.0489357
28,26,40,42,1.0,0.0340329
29,26,41,44,1.0,0.0680503
29,26,44,47,1.0,0.0434442
29,26,47,50,1.0,0.0296664
30,26,50,54,1.0,0.0403612
28,27,29,30,1.0,2.20569
28,27,30,31,1.0,0.620619
28,27,31,32,1.0,0.243783
28,27,32,33,1.0,0.121831
28,27,33,34,1.0,0.0680204
28,27,34,35,1.0,0.0439058
29,27,35,37,1.0,0.13524
29,27,37,39,1.0,0.0756265
29,27,39,41,1.0,0.0494878
29,27,41,43,1.0,0.0344994
30,27,42,45,1.0,0.0685888
30,27,45,48,1.0,0.044945
30,27,48,51,1.0,0.0307773
31,27,51,55,1.0,0.040213
29,28,30,31,1.0,2.68877
29,28,31,32,1.0,0.722302
29,28,32,33,1.0,0.281234
29,28,33,34,1.0,0.13202
29,28,34,35,1.0,0.0720668
29,28,35,36,1.0,0.0454662
30,28,36,38,1.0,0.14086
30,28,38,40,1.0,0.0794086
30,28,40,42,1.0,0.0517887
30,28,42,44,1.0,0.0363681
31,28,43,46,1.0,0.0700689
31,28,46,49,1.0,0.0450425
31,28,49,52,1.0,0.0317927
32,28,52,56,1.0,0.0404978
30,29,31,32,1.0,2.90854
30,29,32,33,1.0,0.820397
30,29,33,34,1.0,0.313669
30,29,34,35,1.0,0.145052
30,29,35,36,1.0,0.0817359
30,29,36,37,1.0,0.0507452
31,29,37,39,1.0,0.142823
31,29,39,41,1.0,0.0808524
31,29,41,43,1.0,0.0511718
31,29,43,45,1.0,0.0367183
32,29,44,47,1.0,0.0693991
32,29,47,50,1.0,0.0449113
32,29,50,53,1.0,0.0311889
31,30,32,33,1.0,2.81595
31,30,33,34,1.0,0.775744
31,30,34,35,1.0,0.305678
31,30,35,36,1.0,0.140428
31,30,36,37,1.0,0.0781926
31,30,37,38,1.0,0.0481698
32,30,38,40,1.0,0.138059
32,30,40,42,1.0,0.0766454
32,30,42,44,1.0,0.0496858
32,30,44,46,1.0,0.0354346
33,30,45,48,1.0,0.0663068
33,30,48,51,1.0,0.0432279
33,30,51,54,1.0,0.0301955
32,31,33,34,1.0,2.75666
32,31,34,35,1.0,0.778505
32,31,35,36,1.0,0.296733
32,31,36,37,1.0,0.136813
32,31,37,38,1.0,0.075969
32,31,38,39,1.0,0.0470608
33,31,39,41,1.0,0.13352
33,31,41,43,1.0,0.0740268
33,31,43,45,1.0,0.0480086
33,31,45,47,1.0,0.0333676
34,31,46,49,1.0,0.0661555
34,31,49,52,1.0,0.0431404
34,31,52,55,1.0,0.0290103
33,32,34,35,1.0,2.80028
33,32,35,36,1.0,0.77044
33,32,36,37,1.0,0.299572
33,32,37,38,1.0,0.138229
33,32,38,39,1.0,0.0752075
33,32,39,40,1.0,0.0469042
34,32,40,42,1.0,0.134355
34,32,42,44,1.0,0.0721305
34,32,44,46,1.0,0.0477043
34,32,46,48,1.0,0.0334142
35,32,47,50,1.0,0.0647042
35,32,50,53,1.0,0.0424809
35,32,53,56,1.0,0.0294822
34,33,35,36,1.0,2.77166
34,33,36,37,1.0,0.769408
34,33,37,38,1.0,0.292175
34,33,38,39,1.0,0.136383
34,33,39,40,1.0,0.0755362
34,33,40,41,1.0,0.0459365
35,33,41,43,1.0,0.135026
35,33,43,45,1.0,0.073837
35,33,45,47,1.0,0.0475497
35,33,47,49,1.0,0.0329263
36,33,48,51,1.0,0.0651398
36,33,51,54,1.0,0.0417397
35,34,36,37,1.0,2.78709
35,34,37,38,1.0,0.784505
35,34,38,39,1.0,0.291918
35,34,39,40,1.0,0.136415
35,34,40,41,1.0,0.0747006
35,34,41,42,1.0,0.0469824
36,34,42,44,1.0,0.135061
36,34,44,46,1.0,0.0739035
36,34,46,48,1.0,0.0476436
36,34,48,50,1.0,0.0339551
37,34,49,52,1.0,0.0658482
37,34,52,55,1.0,0.0427946
36,35,37,38,1.0,2.7804
36,35,38,39,1.0,0.766538
36,35,39,40,1.0,0.295617
36,35,40,41,1.0,0.136847
36,35,41,42,1.0,0.0743577
36,35,42,43,1.0,0.0462897
37,35,43,45,1.0,0.13432
37,35,45,47,1.0,0.0730207
37,35,47,49,1.0,0.0488551
37,35,49,51,1.0,0.0339566
38,35,50,53,1.0,0.0646206
38,35,53,56,1.0,0.0423184
37,36,38,39,1.0,2.8225
37,36,39,40,1.0,0.770804
37,36,40,41,1.0,0.298035
37,36,41,42,1.0,0.136942
37,36,42,43,1.0,0.0750905
37,36,43,44,1.0,0.0466973
38,36,44,46,1.0,0.135953
38,36,46,48,1.0,0.0736813
38,36,48,50,1.0,0.048346
38,36,50,52,1.0,0.0333541
39,36,51,54,1.0,0.0655021
38,37,39,40,1.0,2.79461
38,37,40,41,1.0,0.775485
38,37,41,42,1.0,0.29763
38,37,42,43,1.0,0.136721
38,37,43,44,1.0,0.0735226
38,37,44,45,1.0,0.0464373
39,37,45,47,1.0,0.133358
39,37,47,49,1.0,0.0743904
39,37,49,51,1.0,0.0480852
39,37,51,53,1.0,0.0336404
40,37,52,55,1.0,0.0663472
39,38,40,41,1.0,2.82723
39,38,41,42,1.0,0.791231
39,38,42,43,1.0,0.294864
39,38,43,44,1.0,0.136479
39,38,44,45,1.0,0.0744607
39,38,45,46,1.0,0.0464395
40,38,46,48,1.0,0.132083
40,38,48,50,1.0,0.0737617
40,38,50,52,1.0,0.0479628
40,38,52,54,1.0,0.033717
41,38,53,56,1.0,0.0653851
40,39,41,42,1.0,2.79974
40,39,42,43,1.0,0.766367
40,39,43,44,1.0,0.296818
40,39,44,45,1.0,0.138812
40,39,45,46,1.0,0.0733923
40,39,46,47,1.0,0.0459969
41,39,47,49,1.0,0.136371
41,39,49,51,1.0,0.0739861
41,39,51,53,1.0,0.0486497
41,39,53,55,1.0,0.0335414
41,40,42,43,1.0,2.78846
41,40,43,44,1.0,0.777981
41,40,44,45,1.0,0.293219
41,40,45,46,1.0,0.136385
41,40,46,47,1.0,0.0754422
41,40,47,48,1.0,0.0464303
42,40,48,50,1.0,0.135399
42,40,50,52,1.0,0.0742994
42,40,52,54,1.0,0.0485746
42,40,54,56,1.0,0.0334609
42,41,43,44,1.0,2.83224
42,41,44,45,1.0,0.760965
42,41,45,46,1.0,0.292041
42,41,46,47,1.0,0.138425
42,41,47,48,1.0,0.0753799
42,41,48,49,1.0,0.0466243
43,41,49,51,1.0,0.134355
43,41,51,53,1.0,0.0759505
43,41,53,55,1.0,0.0482507
43,42,44,45,1.0,2.787
43,42,45,46,1.0,0.78123
43,42,46,47,1.0,0.298321
43,42,47,48,1.0,0.137471
43,42,48,49,1.0,0.0749729
43,42,49,50,1.0,0.0460972
44,42,50,52,1.0,0.134985
44,42,52,54,1.0,0.0747896
44,42,54,56,1.0,0.0482105
44,43,45,46,1.0,2.81845
44,43,46,47,1.0,0.766774
44,43,47,48,1.0,0.290865
44,43,48,49,1.0,0.136968
44,43,49,50,1.0,0.0743861
44,43,50,51,1.0,0.0459808
45,43,51,53,1.0,0.134643
45,43,53,55,1.0,0.0734165
45,44,46,47,1.0,2.81282
45,44,47,48,1.0,0.777798
45,44,48,49,1.0,0.298384
45,44,49,50,1.0,0.137106
45,44,50,51,1.0,0.0741885
45,44,51,52,1.0,0.0468914
46,44,52,54,1.0,0.133241
46,44,54,56,1.0,0.074693
46,45,47,48,1.0,2.78971
46,45,48,49,1.0,0.778399
46,45,49,50,1.0,0.293779
46,45,50,51,1.0,0.135997
46,45,51,52,1.0,0.0742119
46,45,52,53,1.0,0.0463103
47,45,53,55,1.0,0.13474
47,46,48,49,1.0,2.83018
47,46,49,50,1.0,0.771401
47,46,50,51,1.0,0.294738
47,46,51,52,1.0,0.139142
47,46,52,53,1.0,0.0736372
47,46,53,54,1.0,0.0467157
48,46,54,56,1.0,0.133613
48,47,49,50,1.0,2.78277
48,47,50,51,1.0,0.774931
48,47,51,52,1.0,0.294667
48,47,52,53,1.0,0.136094
48,47,53,54,1.0,0.0742206
48,47,54,55,1.0,0.0462565
49,48,50,51,1.0,2.85466
49,48,51,52,1.0,0.768643
49,48,52,53,1.0,0.29433
49,48,53,54,1.0,0.137651
49,48,54,55,1.0,0.075926
49,48,55,56,1.0,0.0459545
50,49,51,52,1.0,2.79603
50,49,52,53,1.0,0.756721
50,49,53,54,1.0,0.298576
50,49,54,55,1.0,0.137533
50,49,55,56,1.0,0.0738342
51,50,52,53,1.0,2.80911
51,50,53,54,1.0,0.777538
51,50,54,55,1.0,0.296163
51,50,55,56,1.0,0.135652
52,51,53,54,1.0,2.78986
52,51,54,55,1.0,0.774442
52,51,55,56,1.0,0.293808
53,52,54,55,1.0,2.79251
53,52,55,56,1.0,0.769081
54,53,55,56,1.0,2.81748
